,party,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.validVotesPercentage,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
385,PCP-PEV,0,1,0,9.74,0,10.31,2516,Covilhã,Castelo Branco,0,834,3.23,,False,590,2.28,21,25832,58.56,JORGE MANUEL ROQUE BAPTISTA FAEL,2021
386,PS,1,1,4,46.24,1,48.94,11946,Covilhã,Castelo Branco,0,834,3.23,,False,590,2.28,21,25832,58.56,VITOR MANUEL PINHEIRO PEREIRA,2021
387,CH,0,1,0,4.33,0,4.59,625,Fundão,Castelo Branco,0,522,3.62,,False,293,2.03,23,14418,56.68,FERNANDO ANTÓNIO NOBRE ROSA,2021
388,PCP-PEV,0,1,0,5.55,0,5.88,800,Fundão,Castelo Branco,0,522,3.62,,False,293,2.03,23,14418,56.68,LUÍS ANTÓNIO NUNES LOURENÇO,2021
389,PPD/PSD,1,1,5,56.74,1,60.14,8181,Fundão,Castelo Branco,0,522,3.62,,False,293,2.03,23,14418,56.68,PAULO ALEXANDRE BERNARDO FERNANDES,2021
390,PS,0,1,2,27.72,0,29.38,3997,Fundão,Castelo Branco,0,522,3.62,,False,293,2.03,23,14418,56.68,JOANA MORGADINHO BENTO,2021
391,MOV.PT,0,1,2,31.73,0,33.37,1673,Idanha-a-Nova,Castelo Branco,0,133,2.52,,False,127,2.41,13,5273,65.87,JOSÉ ADELINO ESTEVES GAMEIRO,2021
392,PCP-PEV,0,1,0,3.38,0,3.55,178,Idanha-a-Nova,Castelo Branco,0,133,2.52,,False,127,2.41,13,5273,65.87,GRAÇA GOMES PIÇARRA,2021
393,PPD/PSD,0,1,0,6.28,0,6.6,331,Idanha-a-Nova,Castelo Branco,0,133,2.52,,False,127,2.41,13,5273,65.87,ANTÓNIO JORGE DA CRUZ MOREIRA,2021
394,PS,1,1,3,53.69,1,56.47,2831,Idanha-a-Nova,Castelo Branco,0,133,2.52,,False,127,2.41,13,5273,65.87,ARMINDO MOREIRA PALMA JACINTO,2021
395,MCO,0,1,2,41.39,0,43.75,1420,Oleiros,Castelo Branco,0,91,2.65,,False,94,2.74,10,3431,73.28,ANTÓNIO JORGE FERNANDES ANTUNES,2021
396,PCP-PEV,0,1,0,1.92,0,2.03,66,Oleiros,Castelo Branco,0,91,2.65,,False,94,2.74,10,3431,73.28,LUÍS GILHERME DAS DORES SILVA,2021
397,PPD/PSD,1,1,3,51.3,1,54.22,1760,Oleiros,Castelo Branco,0,91,2.65,,False,94,2.74,10,3431,73.28,FERNANDO MARQUES JORGE,2021
398,CDS-PP,0,1,0,1.46,0,1.53,46,Penamacor,Castelo Branco,0,63,2.0,,False,80,2.53,9,3156,72.77,ANTÓNIO TAVARES PROENÇA,2021
399,IND,0,1,2,35.2,0,36.87,1111,Penamacor,Castelo Branco,0,63,2.0,,False,80,2.53,9,3156,72.77,ANSELMO MANUEL ESTEVES CUNHA,2021
400,PCP-PEV,0,1,0,1.27,0,1.33,40,Penamacor,Castelo Branco,0,63,2.0,,False,80,2.53,9,3156,72.77,ANA PAULA CINHA MARTINS PINTO PIRES,2021
401,PS,1,1,3,57.54,1,60.27,1816,Penamacor,Castelo Branco,0,63,2.0,,False,80,2.53,9,3156,72.77,ANTÓNIO LUÍS BEITES SOARES,2021
402,PCP-PEV,0,1,0,2.37,0,2.51,103,Proença-a-Nova,Castelo Branco,0,146,3.35,,False,107,2.46,4,4355,63.88,MARIA JÚLIA CARDOSO PEDRO SOBRAL,2021
403,PPD/PSD.CDS-PP,0,1,1,27.26,0,28.94,1187,Proença-a-Nova,Castelo Branco,0,146,3.35,,False,107,2.46,4,4355,63.88,CARLOS MANUEL RIBEIRO GONÇALVES,2021
404,PS,1,1,4,64.57,1,68.55,2812,Proença-a-Nova,Castelo Branco,0,146,3.35,,False,107,2.46,4,4355,63.88,JOÃO MANUEL VENTURA GRILO DE MELO LOBO,2021
405,B.E.,0,1,0,1.28,0,1.33,114,Sertã,Castelo Branco,0,190,2.13,,False,155,1.74,10,8916,67.01,ANTÓNIO MANUEL COELHO SILVA,2021
406,CH,0,1,0,3.44,0,3.58,307,Sertã,Castelo Branco,0,190,2.13,,False,155,1.74,10,8916,67.01,MARCO PAULO FERREIRA MENEZ DOS SANTOS,2021
407,PCP-PEV,0,1,0,0.94,0,0.98,84,Sertã,Castelo Branco,0,190,2.13,,False,155,1.74,10,8916,67.01,EMA PEREIRA GOMES,2021
408,PPD/PSD,0,1,3,42.81,0,44.53,3817,Sertã,Castelo Branco,0,190,2.13,,False,155,1.74,10,8916,67.01,PAULO JORGE FARINHA LUÍS,2021
409,PS,1,1,4,47.66,1,49.57,4249,Sertã,Castelo Branco,0,190,2.13,,False,155,1.74,10,8916,67.01,CARLOS ALBERTO DE MIRANDA,2021
410,PCP-PEV,0,1,0,4.5,0,4.68,86,Vila Velha de Ródão,Castelo Branco,0,39,2.04,,False,36,1.88,4,1911,68.03,ANTÓNIO JOSÉ FERRO INÁCIO,2021
411,PPD/PSD.CDS-PP,0,1,1,17.84,0,18.57,341,Vila Velha de Ródão,Castelo Branco,0,39,2.04,,False,36,1.88,4,1911,68.03,CARLOS MANUEL CORREIA CARDOSO MARTINS FARIA,2021
412,PS,1,1,4,73.73,1,76.74,1409,Vila Velha de Ródão,Castelo Branco,0,39,2.04,,False,36,1.88,4,1911,68.03,LUIS MIGUEL FERRO PEREIRA,2021
413,PCP-PEV,0,1,0,5.51,0,5.87,109,Vila de Rei,Castelo Branco,0,49,2.47,,False,75,3.79,3,1980,71.95,ISILDA CRISTINA LARANJEIRA DA SILVA,2021
414,PPD/PSD,1,1,4,61.26,1,65.36,1213,Vila de Rei,Castelo Branco,0,49,2.47,,False,75,3.79,3,1980,71.95,RICARDO JORGE MARTINS AIRES,2021
415,PS,0,1,1,26.97,0,28.77,534,Vila de Rei,Castelo Branco,0,49,2.47,,False,75,3.79,3,1980,71.95,LUÍS MANUEL MARTINS FERREIRA DOS SANTOS,2021
416,PCP-PEV,0,1,0,4.61,0,4.85,289,Arganil,Coimbra,0,178,2.84,,False,139,2.22,14,6275,61.7,JOSÉ TIAGO ALMEIDA,2021
417,PPD/PSD,1,1,5,59.33,1,62.49,3723,Arganil,Coimbra,0,178,2.84,,False,139,2.22,14,6275,61.7,LUIS PAULO CARREIRA FONSECA DA COSTA,2021
418,PS,0,1,2,31.01,0,32.66,1946,Arganil,Coimbra,0,178,2.84,,False,139,2.22,14,6275,61.7,PAULO JORGE MARTINS VIANA DE TELES MARQUES,2021
419,B.E.,0,1,0,2.76,0,2.91,496,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,DANIEL NEVES COSTA,2021
420,CDS-PP,0,1,0,1.36,0,1.44,245,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,GUIDA MARIA TABANÊZ FONSECA,2021
421,CH,0,1,0,5.38,0,5.66,967,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,ELISEU DA COSTA NEVES,2021
422,PCP-PEV,0,1,0,2.31,0,2.44,416,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,JOÃO EVANGELISTA MARQUES LARANJEIRO,2021
423,PPD/PSD,1,1,5,55.31,1,58.23,9941,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,MARIA HELENA ROSA DE TEODÓSIO E CRUZ GOMES DE OLIVEIRA,2021
424,PS,0,1,2,27.86,0,29.33,5007,Cantanhede,Coimbra,0,595,3.31,,False,306,1.7,14,17973,52.07,CRISTINA MARIA DOMINGUES DE JESUS,2021
425,CH,0,1,0,2.29,0,2.38,1529,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,MIGUEL ÂNGELO DA SILVA MARQUES,2021
426,CpC,0,1,0,6.29,0,6.55,4201,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,JORGE FILIPE DE GOUVEIA MONTEIRO,2021
427,IL,0,1,0,1.66,0,1.73,1111,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,TIAGO ANDRÉ MAGALHÃES MEIRELES RIBEIRO,2021
428,PAN,0,1,0,1.45,0,1.51,968,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,MANUEL FILIPE MATEUS DOS REIS,2021
429,PCP-PEV,0,1,1,7.51,0,7.83,5022,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,FRANCISCO JOSÉ PINA QUEIRÓS,2021
430,PDR.MPT,0,1,0,0.22,0,0.22,144,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,INÊS DE ABREU TAFULA,2021
431,PPD/PSD.CDS-PP.NC.PPM.A.RIR.VP,1,1,6,43.92,1,45.75,29349,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,JOSÉ MANUEL MONTEIRO DE CARVALHO E SILVA,2021
432,PS,0,1,4,32.65,0,34.02,21820,Coimbra,Coimbra,0,1948,2.91,,False,739,1.11,18,66831,52.92,MANUEL AUGUSTO SOARES MACHADO,2021
433,B.E.,0,1,0,5.26,0,5.66,416,Condeixa-a-Nova,Coimbra,0,393,4.97,,False,159,2.01,7,7905,54.95,FERNANDO JOSÉ BARBOSA SILVA,2021
434,CH,0,1,0,6.38,0,6.85,504,Condeixa-a-Nova,Coimbra,0,393,4.97,,False,159,2.01,7,7905,54.95,OCTÁVIO ALBERTO CATALÃO ARAÚJO FERREIRA,2021
435,PCP-PEV,0,1,0,6.03,0,6.49,477,Condeixa-a-Nova,Coimbra,0,393,4.97,,False,159,2.01,7,7905,54.95,CARLOS MANUEL FONTES,2021
436,PPD/PSD,0,1,3,31.33,0,33.69,2477,Condeixa-a-Nova,Coimbra,0,393,4.97,,False,159,2.01,7,7905,54.95,NUNO MANUEL MENDES CLARO,2021
437,PS,1,1,4,44.01,1,47.31,3479,Condeixa-a-Nova,Coimbra,0,393,4.97,,False,159,2.01,7,7905,54.95,NUNO MIGUEL RONDÃO MOITA DA COSTA,2021
438,B.E.,0,1,0,2.05,0,2.15,637,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,RUI MIGUEL CURADO DA SILVA,2021
439,CDS-PP,0,1,0,1.16,0,1.22,361,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,MIGUEL FRANCISCO LOUREIRO DE MATOS CHAVES,2021
440,FAP,0,1,4,40.39,1,42.29,12528,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,PEDRO MIGUEL DE SANTANA LOPES,2021
441,PCP-PEV,0,1,0,2.68,0,2.81,831,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,BERNARDO MANUEL MADUREIRA DOS REIS,2021
442,PPD/PSD,0,1,1,10.83,0,11.34,3358,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,PEDRO MANUEL MONTEIRO MACHADO,2021
443,PS,0,1,4,38.39,0,40.2,11909,Figueira da Foz,Coimbra,0,631,2.03,,False,764,2.46,14,31019,56.48,CARLOS ÂNGELO FERREIRA MONTEIRO,2021
444,CDS-PP,0,1,0,2.41,0,2.49,61,Góis,Coimbra,0,28,1.11,,False,54,2.14,4,2529,73.41,PEDRO MIGUEL DA CONCEIÇÃO AGOSTINHO,2021
445,I-Góis,0,1,2,32.27,0,33.35,816,Góis,Coimbra,0,28,1.11,,False,54,2.14,4,2529,73.41,JOSÉ ALBERTO DOMINGOS RODRIGUES,2021
446,PCP-PEV,0,1,0,3.01,0,3.11,76,Góis,Coimbra,0,28,1.11,,False,54,2.14,4,2529,73.41,JOSÉ MANUEL SEQUEIRA CARDOSO BANDEIRA,2021
447,PPD/PSD,0,1,2,40.41,1,41.77,1022,Góis,Coimbra,0,28,1.11,,False,54,2.14,4,2529,73.41,ANTÓNIO RUI DE SOUSA GODINHO SAMPAIO,2021
448,PS,0,1,1,18.66,0,19.29,472,Góis,Coimbra,0,28,1.11,,False,54,2.14,4,2529,73.41,GRACIANO ANTUNES RODRIGUES,2021
449,B.E.,0,1,0,4.83,0,5.07,408,Lousã,Coimbra,0,278,3.29,,False,124,1.47,4,8451,55.37,MARCELO FRANCISCO LEITÃO,2021
450,CH,0,1,0,2.66,0,2.8,225,Lousã,Coimbra,0,278,3.29,,False,124,1.47,4,8451,55.37,PAULO SÉRGIO DOS REIS VAZ,2021
451,PCP-PEV,0,1,0,2.77,0,2.91,234,Lousã,Coimbra,0,278,3.29,,False,124,1.47,4,8451,55.37,MARIA DA CONCEIÇÃO LOUREIRO,2021
452,PPD/PSD.CDS-PP,0,1,3,32.04,0,33.64,2708,Lousã,Coimbra,0,278,3.29,,False,124,1.47,4,8451,55.37,VICTOR EUGÉNIO DAS NEVES CARVALHO,2021
453,PS,1,1,4,52.94,1,55.58,4474,Lousã,Coimbra,0,278,3.29,,False,124,1.47,4,8451,55.37,LUÍS MIGUEL CORREIA ANTUNES,2021
454,CH,0,1,0,3.53,0,3.7,262,Mira,Coimbra,0,203,2.74,,False,136,1.83,4,7421,58.14,ROGÉRIO DA CRUZ OLIVEIRA GUÍMARO,2021
455,PCP-PEV,0,1,0,1.85,0,1.93,137,Mira,Coimbra,0,203,2.74,,False,136,1.83,4,7421,58.14,ANA SOFIA TEIXEIRA JORGE,2021
456,PPD/PSD,1,1,5,59.06,1,61.89,4383,Mira,Coimbra,0,203,2.74,,False,136,1.83,4,7421,58.14,RAUL JOSÉ REI SOARES DE ALMEIDA,2021
457,PS,0,1,2,30.99,0,32.48,2300,Mira,Coimbra,0,203,2.74,,False,136,1.83,4,7421,58.14,LICÍNIO DE JESUS PALHAVÃ,2021
458,B.E.,0,1,0,2.06,0,2.13,135,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,ANTÓNIO MANUEL DUARTE RODRIGUES,2021
459,CDS-PP,0,1,0,1.23,0,1.28,81,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,MARIA SALOMÉ MONTEIRO PITA,2021
460,CH,0,1,0,1.8,0,1.86,118,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,CARLOS FILIPE DE ALMEIDA FERNANDES,2021
461,PCP-PEV,0,1,0,5.16,0,5.35,339,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,MÁRCIA SOFIA CORREIA SIMÕES,2021
462,PPD/PSD.PPM,0,1,3,40.77,0,42.28,2678,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,PAULO FERNANDO DA COSTA DA SILVA,2021
463,PS,1,1,4,45.41,1,47.1,2983,Miranda do Corvo,Coimbra,0,146,2.22,,False,89,1.35,4,6569,60.59,ANTÓNIO MIGUEL COSTA BAPTISTA,2021
464,B.E.,0,1,0,2.52,0,2.63,339,Montemor-o-Velho,Coimbra,0,345,2.56,,False,205,1.52,11,13459,62.03,JOÃO RUI GALVÃO MENDES,2021
465,CH,0,1,0,3.23,0,3.37,435,Montemor-o-Velho,Coimbra,0,345,2.56,,False,205,1.52,11,13459,62.03,MIGUEL ANTÓNIO MACIEL DA SILVA SILVEIRO DOS SANTOS,2021
466,PCP-PEV,0,1,0,7.07,0,7.37,952,Montemor-o-Velho,Coimbra,0,345,2.56,,False,205,1.52,11,13459,62.03,DANIEL DOS REIS NUNES,2021
467,PPD/PSD.CDS-PP,0,1,3,32.48,0,33.87,4372,Montemor-o-Velho,Coimbra,0,345,2.56,,False,205,1.52,11,13459,62.03,MARIA JOÃO BATISTA SOBREIRO,2021
468,PS,1,1,4,50.61,1,52.76,6811,Montemor-o-Velho,Coimbra,0,345,2.56,,False,205,1.52,11,13459,62.03,EMÍLIO AUGUSTO FERREIRA TORRÃO,2021
469,CH,0,1,0,3.67,0,3.81,436,Oliveira do Hospital,Coimbra,0,219,1.84,,False,215,1.81,16,11879,67.54,ANTÓNIO JOSÉ PEREIRA CARDOSO,2021
470,PCP-PEV,0,1,0,2.59,0,2.69,308,Oliveira do Hospital,Coimbra,0,219,1.84,,False,215,1.81,16,11879,67.54,JOÃO MANUEL FONTES DINIS,2021
471,PPD/PSD.CDS-PP,0,1,3,33.87,0,35.16,4024,Oliveira do Hospital,Coimbra,0,219,1.84,,False,215,1.81,16,11879,67.54,FRANCISCO JOSÉ DOS SANTOS RODRIGUES,2021
472,PS,1,1,4,56.21,1,58.34,6677,Oliveira do Hospital,Coimbra,0,219,1.84,,False,215,1.81,16,11879,67.54,JOSÉ FRANCISCO TAVARES ROLO,2021
473,CDS-PP,0,1,0,6.3,0,6.51,160,Pampilhosa da Serra,Coimbra,0,34,1.34,,False,45,1.77,8,2538,73.06,JOÃO PEDRO GOMES GONÇALVES,2021
474,PCP-PEV,0,1,0,1.26,0,1.3,32,Pampilhosa da Serra,Coimbra,0,34,1.34,,False,45,1.77,8,2538,73.06,ALINE DE SOUSA MORAIS,2021
475,PPD/PSD,1,1,4,61.23,1,63.2,1554,Pampilhosa da Serra,Coimbra,0,34,1.34,,False,45,1.77,8,2538,73.06,JORGE ALVES CUSTÓDIO,2021
476,PS,0,1,1,28.09,0,29.0,713,Pampilhosa da Serra,Coimbra,0,34,1.34,,False,45,1.77,8,2538,73.06,RICARDO MIGUEL VICENTE SERRA,2021
477,CDS-PP,0,1,0,1.0,0,1.03,83,Penacova,Coimbra,0,168,2.02,,False,117,1.41,8,8327,62.26,JOÃO PEDRO AFRICANO FERNANDES BARATA PORTUGAL,2021
478,CH,0,1,0,1.06,0,1.09,88,Penacova,Coimbra,0,168,2.02,,False,117,1.41,8,8327,62.26,CARLOS JOSÉ DE FRIAS MENDES OLIVEIRA,2021
479,PCP-PEV,0,1,0,5.1,0,5.28,425,Penacova,Coimbra,0,168,2.02,,False,117,1.41,8,8327,62.26,AVELINO FERNANDES MESQUITA,2021
480,PPD/PSD,1,1,4,46.39,1,48.04,3863,Penacova,Coimbra,0,168,2.02,,False,117,1.41,8,8327,62.26,ÁLVARO GIL FERREIRA MARTINS COIMBRA,2021
481,PS,0,1,3,43.03,0,44.55,3583,Penacova,Coimbra,0,168,2.02,,False,117,1.41,8,8327,62.26,PEDRO ARTUR BARREIRINHAS SALES GUEDES COIMBRA,2021
482,PCP-PEV,0,1,0,0.98,0,1.02,32,Penela,Coimbra,0,60,1.84,,False,48,1.47,4,3258,68.79,MARIA DA GRAÇA GONÇALVES PEDROSA DE OLIVEIRA,2021
483,PPD/PSD,0,1,2,39.04,0,40.38,1272,Penela,Coimbra,0,60,1.84,,False,48,1.47,4,3258,68.79,RUI MANUEL SEOANE PEREIRA,2021
484,PS,1,1,3,56.66,1,58.6,1846,Penela,Coimbra,0,60,1.84,,False,48,1.47,4,3258,68.79,EDUARDO JORGE MENDES NOGUEIRA SANTOS,2021
485,CH,0,1,0,3.58,0,3.78,331,Soure,Coimbra,0,324,3.5,,False,178,1.92,10,9250,57.13,RICARDO JOSÉ FARINHA ARIZMENDI FILIPE,2021
486,PCP-PEV,0,1,0,8.42,0,8.9,779,Soure,Coimbra,0,324,3.5,,False,178,1.92,10,9250,57.13,MARIA DE FÁTIMA PINHÃO MARQUES PENICHEIRO,2021
487,PPD/PSD,0,1,3,37.54,0,39.69,3472,Soure,Coimbra,0,324,3.5,,False,178,1.92,10,9250,57.13,SÓNIA CRISTINA DA SILVA VIDAL PIRES,2021
488,PS,1,1,4,45.04,1,47.62,4166,Soure,Coimbra,0,324,3.5,,False,178,1.92,10,9250,57.13,MÁRIO JORGE DA COSTA RODRIGUES NUNES,2021
489,PCP-PEV,0,1,0,1.91,0,1.97,132,Tábua,Coimbra,0,99,1.43,,False,133,1.92,11,6925,67.79,RITA LÚCIA GOMES DA COSTA OLIVEIRA,2021
490,PPD/PSD.CDS-PP,0,1,3,42.25,0,43.72,2926,Tábua,Coimbra,0,99,1.43,,False,133,1.92,11,6925,67.79,FERNANDO TAVARES PEREIRA,2021
491,PS,1,1,4,52.49,1,54.31,3635,Tábua,Coimbra,0,99,1.43,,False,133,1.92,11,6925,67.79,RICARDO MANUEL DA SILVA CRUZ,2021
492,PCP-PEV,0,1,0,5.63,0,5.94,192,Vila Nova de Poiares,Coimbra,0,107,3.14,,False,70,2.05,4,3408,54.97,DIOGO XAVIER FERREIRA CARDOSO,2021
493,PPD/PSD,0,1,2,29.84,0,31.48,1017,Vila Nova de Poiares,Coimbra,0,107,3.14,,False,70,2.05,4,3408,54.97,MARIA ALBERTINA DE CARVALHO SIMÕES FERREIRA,2021
494,PS,1,1,3,59.33,1,62.58,2022,Vila Nova de Poiares,Coimbra,0,107,3.14,,False,70,2.05,4,3408,54.97,JOÃO MIGUEL SOUSA HENRIQUES,2021
495,B.E.,0,1,0,2.1,0,2.17,325,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,TOMÁS FILIPE CAVACO RAMOS,2021
496,CH,0,1,0,5.77,0,5.96,892,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,RAQUEL ALEXANDRA MATIAS DE FONSECA PELICANO RODRIGUES PEREIRA,2021
497,I - MIPA,0,1,1,15.99,0,16.52,2472,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,DESIDÉRIO JORGE DA SILVA,2021
498,II - AP,0,1,1,10.45,0,10.8,1616,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,ANTÓNIO ABEL ZUA COELHO,2021
499,PAN,0,1,0,1.9,0,1.96,293,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,MÓNICA CRISTINA GUERRA CALDEIRA,2021
500,PCP-PEV,0,1,0,2.9,0,2.99,448,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,NELSON CAPELA TRINDADE,2021
501,PPD/PSD.CDS-PP.MPT.PPM,0,1,3,32.04,1,33.1,4954,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,JOSÉ CARLOS MARTINS ROLO,2021
502,PS,0,1,2,25.66,0,26.51,3968,Albufeira,Faro,0,311,2.01,,False,182,1.18,4,15461,42.5,RICARDO JORGE COELHO CLEMENTE DA SILVA,2021
503,CH,0,1,0,1.07,0,1.11,20,Alcoutim,Faro,0,37,1.98,,False,29,1.55,4,1872,77.04,MARIA DA CONCEIÇÃO RODRIGUES CAVACO,2021
504,PCP-PEV,0,1,0,2.99,0,3.1,56,Alcoutim,Faro,0,37,1.98,,False,29,1.55,4,1872,77.04,MARIA LUÍSA RODRIGUES DE BARROS DE ALMEIDA BEATO,2021
505,PPD/PSD,0,1,2,37.34,0,38.7,699,Alcoutim,Faro,0,37,1.98,,False,29,1.55,4,1872,77.04,CARLOS AUGUSTO CAIMOTO AMARAL LUDOVICO,2021
506,PS,1,1,3,55.07,1,57.09,1031,Alcoutim,Faro,0,37,1.98,,False,29,1.55,4,1872,77.04,OSVALDO DOS SANTOS GONÇALVES,2021
507,CH,0,1,0,1.36,0,1.4,37,Aljezur,Faro,0,53,1.95,,False,29,1.07,4,2719,63.26,CARLOS JOSÉ PACHECO POUPA,2021
508,PCP-PEV,0,1,0,4.16,0,4.29,113,Aljezur,Faro,0,53,1.95,,False,29,1.07,4,2719,63.26,CELSO JORGE PEREIRA DA LUZ ALVES COSTA,2021
509,PPD/PSD,0,1,0,4.97,0,5.12,135,Aljezur,Faro,0,53,1.95,,False,29,1.07,4,2719,63.26,HÉLDER MANUEL DA PONTE CABRITA,2021
510,PS,1,1,3,44.69,1,46.08,1215,Aljezur,Faro,0,53,1.95,,False,29,1.07,4,2719,63.26,JOSÉ MANUEL LUCAS GONÇALVES,2021
511,R,0,1,2,41.82,0,43.12,1137,Aljezur,Faro,0,53,1.95,,False,29,1.07,4,2719,63.26,MANUEL JOSÉ DE JESUS MARREIROS,2021
512,CDS-PP,0,1,0,0.8,0,0.83,27,Castro Marim,Faro,0,68,2.02,,False,46,1.37,4,3368,57.58,JÚLIO FILIPE DE CAMPOS GAMEIRO,2021
513,CH,0,1,0,4.69,0,4.86,158,Castro Marim,Faro,0,68,2.02,,False,46,1.37,4,3368,57.58,JORGE MANUEL DOS SANTOS PINTO,2021
514,PCP-PEV,0,1,0,3.62,0,3.75,122,Castro Marim,Faro,0,68,2.02,,False,46,1.37,4,3368,57.58,PAULA SOFIA SOARES DOS SANTOS,2021
515,PPD/PSD,1,1,3,56.18,1,58.14,1892,Castro Marim,Faro,0,68,2.02,,False,46,1.37,4,3368,57.58,FRANCISCO AUGUSTO CAIMOTO AMARAL,2021
516,PS,0,1,2,31.32,0,32.42,1055,Castro Marim,Faro,0,68,2.02,,False,46,1.37,4,3368,57.58,ROSA ESMERALDA MARQUES GUERREIRO NUNES,2021
517,B.E.,0,1,0,4.05,0,4.19,1035,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,ANIBAL ACÁCIO MENDES COUTINHO,2021
518,CH,0,1,0,5.13,0,5.31,1311,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,CUSTÓDIO MATEUS DE SOUSA GUERREIRO,2021
519,PAN,0,1,0,2.66,0,2.75,678,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,ELZA MARIA MARTINS DE SOUSA CUNHA,2021
520,PCP-PEV,0,1,0,6.48,0,6.71,1656,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,"CATARINA ALEXANDRA MATOS MARQUES,",2021
521,PPD/PSD.CDS-PP.IL.MPT.PPM,1,1,6,47.76,1,49.4,12195,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,ROGÉRIO CONCEIÇÃO BACALHAU COELHO,2021
522,PS,0,1,3,30.58,0,31.64,7809,Faro,Faro,0,558,2.19,,False,294,1.15,4,25536,44.91,JOÃO MANUEL GODINHO MARQUES,2021
523,B.E.,0,1,0,3.66,0,3.78,347,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,ANDREIA LOPES BRANCO PAIS,2021
524,CH,0,1,0,6.38,0,6.6,606,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,HERNÂNI MIGUEL DA ENCARNAÇÃO SOUSA,2021
525,IL,0,1,0,1.79,0,1.85,170,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,LUIS PAULO DINIS BARROSO,2021
526,MLP,0,1,1,18.01,0,18.62,1709,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,FRANCISCO JOSÉ MALVEIRO MARTINS,2021
527,PCP-PEV,0,1,0,3.26,0,3.37,309,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,VITOR MANUEL MATOS CARAPINHA,2021
528,PPD/PSD,0,1,1,12.17,0,12.58,1155,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,MÁRIO JOSÉ COSTA VIEIRA,2021
529,PS,1,1,5,51.46,1,53.2,4884,Lagoa,Faro,0,185,1.95,,False,126,1.33,4,9491,49.47,LUÍS ANTÓNIO ALVES DA ENCARNAÇÃO,2021
530,CDS-PP,0,1,0,0.92,0,0.97,95,Lagos,Faro,0,367,3.55,,False,160,1.55,4,10339,41.73,TIAGO RODRIGUES DE OLIVEIRA PONCES DE CARVALHO,2021
531,CH,0,1,0,7.73,0,8.14,799,Lagos,Faro,0,367,3.55,,False,160,1.55,4,10339,41.73,DELANO CHIATTONE,2021
